Sl. No.,Official_Gene_Symbol,Entrez_Gene_ID,Expression_Change,Gene_Name
357,LOC112447080,112447080,Upregulated,uncharacterized LOC112447080(LOC112447080)
358,NICN1,614730,Upregulated,"nicolin 1, tubulin polyglutamylase complex subunit(NICN1)"
359,LOC107133095,107133095,Upregulated,uncharacterized LOC107133095(LOC107133095)
360,HIP1R,508291,Upregulated,huntingtin interacting protein 1 related(HIP1R)
361,LOC132346948,132346948,Upregulated,uncharacterized LOC132346948(LOC132346948)
362,LOC101908015,101908015,Upregulated,T cell receptor delta constant-like(LOC101908015)
363,DHODH,533873,Upregulated,dihydroorotate dehydrogenase (quinone)(DHODH)
364,GZMM,512272,Upregulated,granzyme M(GZMM)
365,PINK1,510683,Upregulated,PTEN induced kinase 1(PINK1)
366,NAGK,508132,Upregulated,N-acetylglucosamine kinase(NAGK)
367,MTRES1,613695,Upregulated,mitochondrial transcription rescue factor 1(MTRES1)
368,TRIM35,518310,Upregulated,tripartite motif containing 35(TRIM35)
369,PTPN7,614077,Upregulated,protein tyrosine phosphatase non-receptor type 7(PTPN7)
370,BCAR1,527550,Upregulated,"BCAR1 scaffold protein, Cas family member(BCAR1)"
371,LOC100847115,100847115,Upregulated,thyrotropin-releasing hormone receptor(LOC100847115)
372,ERRFI1,516303,Upregulated,ERBB receptor feedback inhibitor 1(ERRFI1)
373,AHCYL2,532836,Upregulated,adenosylhomocysteinase like 2(AHCYL2)
374,LOC100848208,100848208,Upregulated,uncharacterized LOC100848208(LOC100848208)
375,TMEM41A,505368,Upregulated,transmembrane protein 41A(TMEM41A)
376,LOC100848443,100848443,Upregulated,uncharacterized LOC100848443(LOC100848443)
377,LOC132344119,132344119,Upregulated,uncharacterized LOC132344119(LOC132344119)
378,TONSL,505102,Upregulated,"tonsoku like, DNA repair protein(TONSL)"
379,THUMPD2,509460,Upregulated,THUMP domain containing 2(THUMPD2)
380,LOC783680,783680,Upregulated,beta-2-microglobulin(LOC783680)
381,ZDHHC8,526847,Upregulated,zinc finger DHHC-type palmitoyltransferase 8(ZDHHC8)
382,TXNDC15,523911,Upregulated,thioredoxin domain containing 15(TXNDC15)
383,ACTB,280979,Upregulated,actin beta(ACTB)
384,PEX26,537878,Upregulated,peroxisomal biogenesis factor 26(PEX26)
385,RCBTB2,513632,Upregulated,RCC1 and BTB domain containing protein 2(RCBTB2)
386,NUDT4,614183,Upregulated,nudix hydrolase 4(NUDT4)
387,LOC112442344,112442344,Upregulated,uncharacterized LOC112442344(LOC112442344)
388,RINL,504464,Upregulated,Ras and Rab interactor like(RINL)
389,DHX57,540993,Upregulated,DExH-box helicase 57(DHX57)
390,ANPEP,404191,Upregulated,"alanyl aminopeptidase, membrane(ANPEP)"
391,SPATA24,506099,Upregulated,spermatogenesis associated 24(SPATA24)
392,OGFOD2,539407,Upregulated,2-oxoglutarate and iron dependent oxygenase domain containing 2(OGFOD2)
393,FBXO4,534852,Upregulated,F-box protein 4(FBXO4)
394,PIEZO1,789183,Upregulated,piezo type mechanosensitive ion channel component 1(PIEZO1)
395,RCC1,534142,Upregulated,regulator of chromosome condensation 1(RCC1)
396,CCN3,505727,Upregulated,cellular communication network factor 3(CCN3)
397,SPA17,616974,Upregulated,sperm autoantigenic protein 17(SPA17)
398,LOC101903913,101903913,Upregulated,uncharacterized LOC101903913(LOC101903913)
399,PELO,528728,Upregulated,pelota mRNA surveillance and ribosome rescue factor(PELO)
400,LOC112446708,112446708,Upregulated,uncharacterized LOC112446708(LOC112446708)
401,SLC12A9,617865,Upregulated,solute carrier family 12 member 9(SLC12A9)
402,LOC101901960,101901960,Upregulated,uncharacterized LOC101901960(LOC101901960)
403,PAQR8,531018,Upregulated,progestin and adipoQ receptor family member 8(PAQR8)
404,LOC784541,784541,Upregulated,tumor necrosis factor receptor superfamily member 10A(LOC784541)
405,LOC785630,785630,Upregulated,zinc finger protein 480-like(LOC785630)
406,MOGS,516155,Upregulated,mannosyl-oligosaccharide glucosidase(MOGS)
407,BCS1L,539713,Upregulated,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone(BCS1L)"
408,LOC101907023,101907023,Upregulated,uncharacterized LOC101907023(LOC101907023)
409,GCAT,319141,Upregulated,glycine C-acetyltransferase(GCAT)
410,GAREM2,783429,Upregulated,GRB2 associated regulator of MAPK1 subtype 2(GAREM2)
411,BTD,537669,Upregulated,biotinidase(BTD)
412,IFI27,507138,Upregulated,putative ISG12(a) protein(IFI27)
413,LOC112443422,112443422,Upregulated,uncharacterized LOC112443422(LOC112443422)
414,PPP1R3D,782160,Upregulated,protein phosphatase 1 regulatory subunit 3D(PPP1R3D)
415,ULK2,618601,Upregulated,unc-51 like autophagy activating kinase 2(ULK2)
416,TRIM14,522632,Upregulated,tripartite motif containing 14(TRIM14)
417,KCTD14,112444857,Upregulated,potassium channel tetramerization domain containing 14(KCTD14)
418,KCNQ5,613605,Upregulated,potassium voltage-gated channel subfamily Q member 5(KCNQ5)
419,TAGLN2,282379,Upregulated,transgelin 2(TAGLN2)
420,KIF20B,514679,Upregulated,kinesin family member 20B(KIF20B)
421,BCORL1,540023,Upregulated,BCL6 corepressor like 1(BCORL1)
422,KCTD18,613694,Upregulated,potassium channel tetramerization domain containing 18(KCTD18)
423,LOC100848469,100848469,Upregulated,uncharacterized LOC100848469(LOC100848469)
424,PPP1R36,100141235,Upregulated,protein phosphatase 1 regulatory subunit 36(PPP1R36)
425,SDC4,508133,Upregulated,syndecan 4(SDC4)
426,TMEM63B,534891,Upregulated,transmembrane protein 63B(TMEM63B)
427,USHBP1,768083,Upregulated,USH1 protein network component harmonin binding protein 1(USHBP1)
428,LOC107132071,107132071,Upregulated,uncharacterized LOC107132071(LOC107132071)
429,PEX11B,506527,Upregulated,peroxisomal biogenesis factor 11 beta(PEX11B)
430,LOC107133160,107133160,Upregulated,uncharacterized LOC107133160(LOC107133160)
431,FBF1,513998,Upregulated,Fas binding factor 1(FBF1)
432,PIK3R3,286865,Upregulated,phosphoinositide-3-kinase regulatory subunit 3(PIK3R3)
433,CD1E,510832,Upregulated,CD1e molecule(CD1E)
434,PIK3R2,282308,Upregulated,phosphoinositide-3-kinase regulatory subunit 2(PIK3R2)
435,LOC783461,783461,Upregulated,small ribosomal subunit protein uS8-like(LOC783461)
436,CD1D,516046,Upregulated,"CD1D antigen, d polypeptide(CD1D)"
437,ZBTB4,613607,Upregulated,zinc finger and BTB domain containing 4(ZBTB4)
438,CFAP126,510399,Upregulated,cilia and flagella associated protein 126(CFAP126)
439,RACGAP1,514618,Upregulated,Rac GTPase activating protein 1(RACGAP1)
440,LOC112442568,112442568,Upregulated,uncharacterized LOC112442568(LOC112442568)
441,DHX33,528151,Upregulated,DEAH-box helicase 33(DHX33)
442,LOC112441478,112441478,Upregulated,uncharacterized LOC112441478(LOC112441478)
443,MICAL1,508306,Upregulated,"microtubule associated monooxygenase, calponin and LIM domain containing 1(MICAL1)"
444,ZNF703,782419,Upregulated,zinc finger protein 703(ZNF703)
445,TSPAN2,539001,Upregulated,tetraspanin 2(TSPAN2)
446,CD14,281048,Upregulated,CD14 molecule(CD14)
447,LOC787812,787812,Upregulated,zinc finger protein 665(LOC787812)
448,KCNN4,534591,Upregulated,potassium calcium-activated channel subfamily N member 4(KCNN4)
449,LYAR,537667,Upregulated,Ly1 antibody reactive(LYAR)
450,CLHC1,517621,Upregulated,clathrin heavy chain linker domain containing 1(CLHC1)
451,SEC31B,507880,Upregulated,"SEC31 homolog B, COPII coat complex component(SEC31B)"
452,RBM11,539474,Upregulated,RNA binding motif protein 11(RBM11)
453,TNFSF18,768081,Upregulated,TNF superfamily member 18(TNFSF18)
454,MSR1,281311,Upregulated,macrophage scavenger receptor 1(MSR1)
455,BBS1,100848046,Upregulated,Bardet-Biedl syndrome 1(BBS1)
456,LOC132343477,132343477,Upregulated,uncharacterized LOC132343477(LOC132343477)
457,IQSEC2,517311,Upregulated,IQ motif and Sec7 domain ArfGEF 2(IQSEC2)
458,TNFSF15,514239,Upregulated,TNF superfamily member 15(TNFSF15)
459,XRCC5,531945,Upregulated,X-ray repair cross complementing 5(XRCC5)
460,SLC10A3,504534,Upregulated,solute carrier family 10 member 3(SLC10A3)
461,DCLK3,507205,Upregulated,doublecortin like kinase 3(DCLK3)
462,XRCC1,616905,Upregulated,X-ray repair cross complementing 1(XRCC1)
463,POLA1,534848,Upregulated,"DNA polymerase alpha 1, catalytic subunit(POLA1)"
464,FBXL8,614765,Upregulated,F-box and leucine rich repeat protein 8(FBXL8)
465,INTS5,514150,Upregulated,integrator complex subunit 5(INTS5)
466,RANBP10,519736,Upregulated,RAN binding protein 10(RANBP10)
467,SPDYA,616408,Upregulated,speedy/RINGO cell cycle regulator family member A(SPDYA)
468,PAEP,280838,Upregulated,progestagen-associated endometrial protein(PAEP)
469,LOC112441469,112441469,Upregulated,L-xylulose reductase(LOC112441469)
470,LOC132343471,132343471,Upregulated,uncharacterized LOC132343471(LOC132343471)
471,MON1A,520286,Upregulated,"MON1 homolog A, secretory trafficking associated(MON1A)"
472,IGHM,404057,Upregulated,immunoglobulin heavy constant mu(IGHM)
473,NRP1,539369,Upregulated,neuropilin 1(NRP1)
474,GPAA1,513395,Upregulated,glycosylphosphatidylinositol anchor attachment 1(GPAA1)
475,TNFRSF13C,618516,Upregulated,TNF receptor superfamily member 13C(TNFRSF13C)
476,NAT14,532809,Upregulated,N-acetyltransferase 14 (putative)(NAT14)
477,C3H1orf109,508021,Upregulated,chromosome 3 C1orf109 homolog(C3H1orf109)
478,NANP,516539,Upregulated,N-acetylneuraminic acid phosphatase(NANP)
479,CTSO,616804,Upregulated,cathepsin O(CTSO)
480,ARV1,515046,Upregulated,"ARV1 homolog, fatty acid homeostasis modulator(ARV1)"
481,KCNT1,529468,Upregulated,potassium sodium-activated channel subfamily T member 1(KCNT1)
482,C8G,517356,Upregulated,complement C8 gamma chain(C8G)
483,ACTR1B,100125305,Upregulated,actin related protein 1B(ACTR1B)
484,SCML4,535263,Upregulated,Scm polycomb group protein like 4(SCML4)
485,CRTAC1,100139581,Upregulated,cartilage acidic protein 1(CRTAC1)
486,OTUD6B,100847538,Upregulated,OTU deubiquitinase 6B(OTUD6B)
487,CTSK,513038,Upregulated,cathepsin K(CTSK)
488,RAC2,327671,Upregulated,Rac family small GTPase 2(RAC2)
489,CCR7,510668,Upregulated,C-C motif chemokine receptor 7(CCR7)
490,BBS7,100138953,Upregulated,Bardet-Biedl syndrome 7(BBS7)
491,CCR6,519716,Upregulated,C-C motif chemokine receptor 6(CCR6)
492,LOC132343065,132343065,Upregulated,uncharacterized LOC132343065(LOC132343065)
493,LOC100848407,100848407,Upregulated,uncharacterized LOC100848407(LOC100848407)
494,BOLA,533050,Upregulated,"major histocompatibility complex, class I, A(BoLA)"
495,ACADS,511222,Upregulated,acyl-CoA dehydrogenase short chain(ACADS)
496,CTSC,352958,Upregulated,cathepsin C(CTSC)
497,GIT1,515088,Upregulated,GIT ArfGAP 1(GIT1)
498,CCR2,539002,Upregulated,C-C motif chemokine receptor 2(CCR2)
499,CTSB,281105,Upregulated,cathepsin B(CTSB)
500,LOC132346327,132346327,Upregulated,uncharacterized LOC132346327(LOC132346327)
501,LYNX1,516158,Upregulated,Ly6/neurotoxin 1(LYNX1)
502,ZHX3,512451,Upregulated,zinc fingers and homeoboxes 3(ZHX3)
503,PABPC4,534576,Upregulated,poly(A) binding protein cytoplasmic 4(PABPC4)
504,ACAD9,617428,Upregulated,acyl-CoA dehydrogenase family member 9(ACAD9)
505,PRPF40B,513782,Upregulated,pre-mRNA processing factor 40 homolog B(PRPF40B)
506,KIF22,506294,Upregulated,kinesin family member 22(KIF22)
507,RGMB,540954,Upregulated,repulsive guidance molecule BMP co-receptor b(RGMB)
508,LOC101905041,101905041,Upregulated,uncharacterized LOC101905041(LOC101905041)
509,ANO3,100139986,Upregulated,anoctamin 3(ANO3)
510,DUS2,509795,Upregulated,dihydrouridine synthase 2(DUS2)
511,ARHGEF3,782247,Upregulated,Rho guanine nucleotide exchange factor 3(ARHGEF3)
512,CRELD1,504854,Upregulated,cysteine rich with EGF like domains 1(CRELD1)
513,CSTPP1,505437,Upregulated,centriolar satellite-associated tubulin polyglutamylase complex regulator 1(CSTPP1)
514,CD63,404156,Upregulated,CD63 molecule(CD63)
515,LOC132346316,132346316,Upregulated,small ubiquitin-related modifier 1(LOC132346316)
516,MARCHF2,508949,Upregulated,membrane associated ring-CH-type finger 2(MARCHF2)
517,SLC43A3,516840,Upregulated,solute carrier family 43 member 3(SLC43A3)
518,LOC132344139,132344139,Upregulated,uncharacterized LOC132344139(LOC132344139)
519,IBA57,506009,Upregulated,iron-sulfur cluster assembly factor IBA57(IBA57)
520,PRICKLE3,509780,Upregulated,prickle planar cell polarity protein 3(PRICKLE3)
521,CAPG,353121,Upregulated,"capping actin protein, gelsolin like(CAPG)"
522,CCDC106,618485,Upregulated,coiled-coil domain containing 106(CCDC106)
523,STX10,525379,Upregulated,syntaxin 10(STX10)
524,CAMKK2,509084,Upregulated,calcium/calmodulin dependent protein kinase kinase 2(CAMKK2)
525,LOC112443213,112443213,Upregulated,uncharacterized LOC112443213(LOC112443213)
526,SLX4,512193,Upregulated,SLX4 structure-specific endonuclease subunit(SLX4)
527,FHIP1B,508334,Upregulated,FHF complex subunit HOOK interacting protein 1B(FHIP1B)
528,CHRNA10,539128,Upregulated,cholinergic receptor nicotinic alpha 10 subunit(CHRNA10)
529,MGAT2,101906103,Upregulated,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase(MGAT2)"
530,FILIP1L,504954,Upregulated,filamin A interacting protein 1 like(FILIP1L)
531,MFSD4B,539486,Upregulated,major facilitator superfamily domain containing 4B(MFSD4B)
532,LOC132346551,132346551,Upregulated,uncharacterized LOC132346551(LOC132346551)
533,NPDC1,100125919,Upregulated,"neural proliferation, differentiation and control 1(NPDC1)"
534,LOC104969408,104969408,Upregulated,endogenous retrovirus group PABLB member 1 Env polyprotein(LOC104969408)
535,LOC101905029,101905029,Upregulated,6-pyruvoyl tetrahydrobiopterin synthase(LOC101905029)
536,PLEKHA5,532887,Upregulated,pleckstrin homology domain containing A5(PLEKHA5)
537,RPA1,504844,Upregulated,replication protein A1(RPA1)
538,ORMDL1,768077,Upregulated,ORMDL sphingolipid biosynthesis regulator 1(ORMDL1)
539,PLEKHA4,510748,Upregulated,pleckstrin homology domain containing A4(PLEKHA4)
540,PEX12,506007,Upregulated,peroxisomal biogenesis factor 12(PEX12)
541,NPM3,504950,Upregulated,nucleophosmin/nucleoplasmin 3(NPM3)
542,PEX13,540337,Upregulated,peroxisomal biogenesis factor 13(PEX13)
543,LOC101905262,101905262,Upregulated,uncharacterized LOC101905262(LOC101905262)
544,FKBP1A,614795,Upregulated,FKBP prolyl isomerase 1A(FKBP1A)
545,PER1,516318,Upregulated,period circadian regulator 1(PER1)
546,LOC112443201,112443201,Upregulated,immunoglobulin heavy variable 4-59-like(LOC112443201)
547,GPAM,497202,Upregulated,"glycerol-3-phosphate acyltransferase, mitochondrial(GPAM)"
548,FHIP2B,507256,Upregulated,FHF complex subunit HOOK interacting protein 2B(FHIP2B)
549,TCEA2,507729,Upregulated,transcription elongation factor A2(TCEA2)
550,RAD1,518502,Upregulated,RAD1 checkpoint DNA exonuclease(RAD1)
551,CD69,281058,Upregulated,CD69 molecule(CD69)
552,RTN4IP1,506626,Upregulated,reticulon 4 interacting protein 1(RTN4IP1)
553,KIAA1958,509630,Upregulated,KIAA1958(KIAA1958)
554,LOC132345696,132345696,Upregulated,uncharacterized LOC132345696(LOC132345696)
555,IL18R1,407221,Upregulated,interleukin 18 receptor 1(IL18R1)
556,IL17A,282863,Upregulated,interleukin 17A(IL17A)
557,DPAGT1,537812,Upregulated,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1(DPAGT1)
558,KLHL36,768061,Upregulated,kelch like family member 36(KLHL36)
559,FHOD1,787862,Upregulated,formin homology 2 domain containing 1(FHOD1)
560,CCDC168,101906350,Upregulated,coiled-coil domain containing 168(CCDC168)
561,LOXL3,613599,Upregulated,lysyl oxidase like 3(LOXL3)
562,JADE1,509264,Upregulated,jade family PHD finger 1(JADE1)
563,LOC512867,512867,Upregulated,"GTPase, IMAP family member 1-like(LOC512867)"
564,JADE3,506664,Upregulated,jade family PHD finger 3(JADE3)
565,LOC112445694,112445694,Upregulated,eukaryotic translation initiation factor 3 subunit M-like(LOC112445694)
566,GIMAP8,531516,Upregulated,"GTPase, IMAP family member 8(GIMAP8)"
567,ACTG1,404122,Upregulated,actin gamma 1(ACTG1)
568,NR3C2,537614,Upregulated,nuclear receptor subfamily 3 group C member 2(NR3C2)
569,TGM1,407997,Upregulated,transglutaminase 1(TGM1)
570,NPPC,281356,Upregulated,natriuretic peptide C(NPPC)
571,LOC506181,506181,Upregulated,zinc finger protein 709-like(LOC506181)
572,TBC1D31,511062,Upregulated,TBC1 domain family member 31(TBC1D31)
573,KIF5C,538771,Upregulated,kinesin family member 5C(KIF5C)
574,TBC1D32,518886,Upregulated,TBC1 domain family member 32(TBC1D32)
575,PALM,786096,Upregulated,paralemmin(PALM)
576,CCRL2,515976,Upregulated,C-C motif chemokine receptor like 2(CCRL2)
577,WWC3,523454,Upregulated,WWC family member 3(WWC3)
578,LOC104970637,104970637,Upregulated,uncharacterized LOC104970637(LOC104970637)
579,RGS7,281452,Upregulated,regulator of G protein signaling 7(RGS7)
580,GEN1,785690,Upregulated,GEN1 Holliday junction 5' flap endonuclease(GEN1)
581,KIRREL1,781667,Upregulated,kirre like nephrin family adhesion molecule 1(KIRREL1)
582,ZGRF1,539572,Upregulated,zinc finger GRF-type containing 1(ZGRF1)
583,LOC100335205,100335205,Upregulated,T-cell receptor gamma chain C region C10.5(LOC100335205)
584,ATAD3A,784353,Upregulated,"ATPase family, AAA domain containing 3A(ATAD3A)"
585,GEM,538437,Upregulated,GTP binding protein overexpressed in skeletal muscle(GEM)
586,KLHL42,781458,Upregulated,kelch like family member 42(KLHL42)
587,ERN1,112442685,Upregulated,endoplasmic reticulum to nucleus signaling 1(ERN1)
588,EEF1A1,282220,Upregulated,eukaryotic translation elongation factor 1 alpha 1(EEF1A1)
589,DOK3,514894,Upregulated,docking protein 3(DOK3)
590,ADAM15,784605,Upregulated,ADAM metallopeptidase domain 15(ADAM15)
591,CCNE1,533526,Upregulated,cyclin E1(CCNE1)
592,SHPK,511999,Upregulated,sedoheptulokinase(SHPK)
593,GEMIN4,539147,Upregulated,gem nuclear organelle associated protein 4(GEMIN4)
594,GEMIN5,533444,Upregulated,gem nuclear organelle associated protein 5(GEMIN5)
595,PPIE,787681,Upregulated,peptidylprolyl isomerase E(PPIE)
596,DENND6B,100139352,Upregulated,DENN domain containing 6B(DENND6B)
597,TSNARE1,535306,Upregulated,t-SNARE domain containing 1(TSNARE1)
598,PHAF1,100125939,Upregulated,phagosome assembly factor 1(PHAF1)
599,RTN2,359720,Upregulated,reticulon 2(RTN2)
600,KLHL18,517831,Upregulated,kelch like family member 18(KLHL18)
601,COX15,517811,Upregulated,cytochrome c oxidase assembly homolog COX15(COX15)
602,SLC41A2,524417,Upregulated,solute carrier family 41 member 2(SLC41A2)
603,TCF7,782690,Upregulated,transcription factor 7(TCF7)
604,SLC41A3,524085,Upregulated,solute carrier family 41 member 3(SLC41A3)
605,PSEN2,282010,Upregulated,presenilin 2(PSEN2)
606,CACNA1A,282648,Upregulated,calcium voltage-gated channel subunit alpha1 A(CACNA1A)
607,KLHL11,538695,Upregulated,kelch like family member 11(KLHL11)
608,SLC41A1,533907,Upregulated,solute carrier family 41 member 1(SLC41A1)
609,CACNA1F,509779,Upregulated,calcium voltage-gated channel subunit alpha1 F(CACNA1F)
610,LOC101904381,101904381,Upregulated,uncharacterized LOC101904381(LOC101904381)
611,PLD3,613932,Upregulated,phospholipase D family member 3(PLD3)
612,CCNB2,281668,Upregulated,cyclin B2(CCNB2)
613,LOC112446769,112446769,Upregulated,uncharacterized LOC112446769(LOC112446769)
614,CLTRN,513188,Upregulated,"collectrin, amino acid transport regulator(CLTRN)"
615,DEAF1,509260,Upregulated,DEAF1 transcription factor(DEAF1)
616,ADGRG6,534326,Upregulated,adhesion G protein-coupled receptor G6(ADGRG6)
617,LOC788745,788745,Upregulated,"ATP synthase F(0) complex subunit B1, mitochondrial-like(LOC788745)"
618,CAMTA2,100859923,Upregulated,calmodulin binding transcription activator 2(CAMTA2)
619,KIF3C,777770,Upregulated,kinesin family member 3C(KIF3C)
620,MSC,507407,Upregulated,musculin(MSC)
621,LOC104973928,104973928,Upregulated,uncharacterized LOC104973928(LOC104973928)
622,COX10,511440,Upregulated,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10(COX10)
623,TBC1D16,512099,Upregulated,TBC1 domain family member 16(TBC1D16)
624,TRGC3,781629,Upregulated,T cell receptor gamma C3(TRGC3)
625,CCDC134,516012,Upregulated,coiled-coil domain containing 134(CCDC134)
626,LOC132343079,132343079,Upregulated,uncharacterized LOC132343079(LOC132343079)
627,UBE2C,506962,Upregulated,ubiquitin conjugating enzyme E2 C(UBE2C)
628,ARHGEF39,780881,Upregulated,Rho guanine nucleotide exchange factor 39(ARHGEF39)
629,CCDC136,615922,Upregulated,coiled-coil domain containing 136(CCDC136)
630,CRTAM,781864,Upregulated,cytotoxic and regulatory T cell molecule(CRTAM)
631,DOLK,526844,Upregulated,dolichol kinase(DOLK)
632,SSH3,514643,Upregulated,slingshot protein phosphatase 3(SSH3)
633,BSPRY,510681,Upregulated,B-box and SPRY domain containing(BSPRY)
634,KLHL20,511387,Upregulated,kelch like family member 20(KLHL20)
635,IFT22,516107,Upregulated,intraflagellar transport 22(IFT22)
636,IL7,280827,Upregulated,interleukin 7(IL7)
637,MMP24OS,112449330,Upregulated,MMP24 opposite strand(MMP24OS)
638,CNOT11,506268,Upregulated,CCR4-NOT transcription complex subunit 11(CNOT11)
639,GNB2,281202,Upregulated,G protein subunit beta 2(GNB2)
640,PHF13,540889,Upregulated,PHD finger protein 13(PHF13)
641,ALPL,280994,Upregulated,"alkaline phosphatase, biomineralization associated(ALPL)"
642,UBE2O,789422,Upregulated,ubiquitin conjugating enzyme E2 O(UBE2O)
643,LOC132346583,132346583,Upregulated,immunoglobulin kappa variable 2-29-like(LOC132346583)
644,TAF4B,518030,Upregulated,TATA-box binding protein associated factor 4b(TAF4B)
645,LOC132346580,132346580,Upregulated,uncharacterized LOC132346580(LOC132346580)
646,LOC132346345,132346345,Upregulated,uncharacterized LOC132346345(LOC132346345)
647,SLC35E2B,527591,Upregulated,solute carrier family 35 member E2B(SLC35E2B)
648,TTC23,529791,Upregulated,tetratricopeptide repeat domain 23(TTC23)
649,LOC786352,786352,Upregulated,apolipoprotein L3(LOC786352)
650,MAST4,529061,Upregulated,microtubule associated serine/threonine kinase family member 4(MAST4)
651,SEPTIN10,514603,Upregulated,septin 10(SEPTIN10)
652,DNAAF10,540032,Upregulated,dynein axonemal assembly factor 10(DNAAF10)
653,ADAL,512667,Upregulated,adenosine deaminase like(ADAL)
654,PIDD1,100137737,Upregulated,p53-induced death domain protein 1(PIDD1)
655,LOC112449617,112449617,Upregulated,uncharacterized LOC112449617(LOC112449617)
656,CPT2,504502,Upregulated,carnitine palmitoyltransferase 2(CPT2)
657,RASGEF1A,514877,Upregulated,RasGEF domain family member 1A(RASGEF1A)
658,NUP62,100138517,Upregulated,nucleoporin 62(NUP62)
659,GGACT,512596,Upregulated,gamma-glutamylamine cyclotransferase(GGACT)
660,MYBL1,338034,Upregulated,MYB proto-oncogene like 1(MYBL1)
661,C26H10orf88,617631,Upregulated,"chromosome 26 open reading frame, human C10orf88(C26H10orf88)"
662,PLA2G4F,522866,Upregulated,phospholipase A2 group IVF(PLA2G4F)
663,DDX59,514901,Upregulated,DEAD-box helicase 59(DDX59)
664,MMP7,286794,Upregulated,matrix metallopeptidase 7(MMP7)
665,HSDL1,505213,Upregulated,hydroxysteroid dehydrogenase like 1(HSDL1)
666,NUP133,524528,Upregulated,nucleoporin 133(NUP133)
667,MMP1,281308,Upregulated,matrix metallopeptidase 1(MMP1)
668,MMP3,281309,Upregulated,matrix metallopeptidase 3(MMP3)
669,BOLA-DRB2,538700,Upregulated,"histocompatibility complex, class II, DR beta 2(BOLA-DRB2)"
670,ARHGEF18,522521,Upregulated,Rho/Rac guanine nucleotide exchange factor 18(ARHGEF18)
671,TBC1D9,537817,Upregulated,TBC1 domain family member 9(TBC1D9)
672,LOC101906531,101906531,Upregulated,uncharacterized LOC101906531(LOC101906531)
673,ACTA2,515610,Upregulated,"actin alpha 2, smooth muscle(ACTA2)"
674,TMIGD2,524354,Upregulated,transmembrane and immunoglobulin domain containing 2(TMIGD2)
675,IFT43,513228,Upregulated,intraflagellar transport 43(IFT43)
676,SETBP1,617265,Upregulated,SET binding protein 1(SETBP1)
677,ALS2,535750,Upregulated,alsin Rho guanine nucleotide exchange factor ALS2(ALS2)
678,PEX5,514832,Upregulated,peroxisomal biogenesis factor 5(PEX5)
679,GFOD2,507361,Upregulated,glucose-fructose oxidoreductase domain containing 2(GFOD2)
680,PTGES3L,100125882,Upregulated,prostaglandin E synthase 3 like(PTGES3L)
681,TMEM218,616789,Upregulated,transmembrane protein 218(TMEM218)
682,LOC132345075,132345075,Upregulated,uncharacterized LOC132345075(LOC132345075)
683,IRF7,100125591,Upregulated,interferon regulatory factor 7(IRF7)
684,MAN1B1,107131137,Upregulated,mannosidase alpha class 1B member 1(MAN1B1)
685,LOC104970208,104970208,Upregulated,uncharacterized LOC104970208(LOC104970208)
686,NUP58,614694,Upregulated,nucleoporin 58(NUP58)
687,DNAH3,786654,Upregulated,dynein axonemal heavy chain 3(DNAH3)
688,MVK,505792,Upregulated,mevalonate kinase(MVK)
689,TAFAZZIN,515177,Upregulated,"tafazzin, phospholipid-lysophospholipid transacylase(TAFAZZIN)"
690,DAPL1,574085,Upregulated,death associated protein like 1(DAPL1)
691,ANKS3,528545,Upregulated,ankyrin repeat and sterile alpha motif domain containing 3(ANKS3)
692,LOC101907852,101907852,Upregulated,uncharacterized LOC101907852(LOC101907852)
693,CLCN3,522719,Upregulated,chloride voltage-gated channel 3(CLCN3)
694,GRO1,281212,Upregulated,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)(GRO1)"
695,CLN6,617615,Upregulated,CLN6 transmembrane ER protein(CLN6)
696,CYTH3,618488,Upregulated,cytohesin 3(CYTH3)
697,IL1RL1,520709,Upregulated,interleukin 1 receptor like 1(IL1RL1)
698,WDCP,785211,Upregulated,WD repeat and coiled coil containing(WDCP)
699,SH3TC1,100300032,Upregulated,SH3 domain and tetratricopeptide repeats 1(SH3TC1)
700,CBS,514525,Upregulated,cystathionine beta-synthase(CBS)
701,GNG4,100125276,Upregulated,G protein subunit gamma 4(GNG4)
702,TBX21,538933,Upregulated,T-box transcription factor 21(TBX21)
703,POLD1,281990,Upregulated,"DNA polymerase delta 1, catalytic subunit(POLD1)"
704,MVB12A,507199,Upregulated,multivesicular body subunit 12A(MVB12A)
705,VHL,540957,Upregulated,von Hippel-Lindau tumor suppressor(VHL)
706,LOC104971307,104971307,Upregulated,uncharacterized LOC104971307(LOC104971307)
707,PDLIM4,515410,Upregulated,PDZ and LIM domain 4(PDLIM4)
708,FAHD1,509273,Upregulated,fumarylacetoacetate hydrolase domain containing 1(FAHD1)
709,MX2,280873,Upregulated,MX dynamin like GTPase 2(MX2)
710,PEDS1,507694,Upregulated,plasmanylethanolamine desaturase 1(PEDS1)
711,LRWD1,100138861,Upregulated,leucine rich repeats and WD repeat domain containing 1(LRWD1)
712,SOD2,281496,Upregulated,superoxide dismutase 2(SOD2)
